task_key,task,model,short,harness,credit_class,on_roster,estimated,task_fit_score,cost_per_task_usd,coding_agent_index,notes
pixel_art,Pixel art,Claude Fable 5 max,Fable 5 max,Claude,Claude Pro,yes,no,94,11.75,77.0,Highest taste/creative/knowledge-work ceiling; expensive.
pixel_art,Pixel art,GPT-5.6 Sol max,Sol max,Codex,Codex Pro,yes,no,85,7.08,80.0,Best pure coding-agent performer in this set.
pixel_art,Pixel art,Claude Opus 4.8 max,Opus 4.8 max,Claude,Claude Pro,yes,no,92,7.7,73.0,"Strong taste, writing, design translation; expensive for code."
pixel_art,Pixel art,GPT-5.6 Terra max,Terra max,Codex (if available),Codex Pro,yes,no,82,2.76,77.0,Strong balanced coding value.
pixel_art,Pixel art,Grok 4.5 high,Grok 4.5,Cursor,Cursor native,yes,no,81,2.59,76.0,Strong Cursor-adjacent agentic/debugging value.
pixel_art,Pixel art,GPT-5.6 Luna max,Luna max,Codex,Codex Pro,yes,no,78,1.57,75.0,Best daily-driver value.
pixel_art,Pixel art,GLM-5.2,GLM-5.2,OpenRouter / Cursor API,Paid API,yes,no,75,6.47,58.0,Good long-context utility; weak in this specific coding-agent setup.
pixel_art,Pixel art,GPT-5.6 Luna medium,Luna med,Codex,Codex Pro,yes,no,72,0.47,59.0,Cheap for routine edits and cleanup.
pixel_art,Pixel art,GPT-5.6 Luna low,Luna low,Codex,Codex Pro,yes,no,58,0.21,42.0,Very cheap; use only for low-risk work.
pixel_art,Pixel art,DeepSeek V4 Pro high,DeepSeek V4 Pro,benchmark reference,Reference,no,no,52,0.27,47.0,Cheap benchmarked open-model agent option.
pixel_art,Pixel art,Kimi K2.6,Kimi K2.6,benchmark reference,Reference,no,no,58,1.18,47.0,Open-model option; slow/uneven in this setup.
pixel_art,Pixel art,Qwen3-Coder-Next local/free,Qwen local,benchmark reference,Reference,no,no,50,0.0,,Modeled as zero direct API cost only if run locally/free; compute and setup excluded.
game_mechanic_design,Game mechanic design,Claude Fable 5 max,Fable 5 max,Claude,Claude Pro,yes,no,97,11.75,77.0,Highest taste/creative/knowledge-work ceiling; expensive.
game_mechanic_design,Game mechanic design,GPT-5.6 Sol max,Sol max,Codex,Codex Pro,yes,no,95,7.08,80.0,Best pure coding-agent performer in this set.
game_mechanic_design,Game mechanic design,Claude Opus 4.8 max,Opus 4.8 max,Claude,Claude Pro,yes,no,92,7.7,73.0,"Strong taste, writing, design translation; expensive for code."
game_mechanic_design,Game mechanic design,GPT-5.6 Terra max,Terra max,Codex (if available),Codex Pro,yes,no,90,2.76,77.0,Strong balanced coding value.
game_mechanic_design,Game mechanic design,Grok 4.5 high,Grok 4.5,Cursor,Cursor native,yes,no,88,2.59,76.0,Strong Cursor-adjacent agentic/debugging value.
game_mechanic_design,Game mechanic design,GPT-5.6 Luna max,Luna max,Codex,Codex Pro,yes,no,84,1.57,75.0,Best daily-driver value.
game_mechanic_design,Game mechanic design,GLM-5.2,GLM-5.2,OpenRouter / Cursor API,Paid API,yes,no,80,6.47,58.0,Good long-context utility; weak in this specific coding-agent setup.
game_mechanic_design,Game mechanic design,GPT-5.6 Luna medium,Luna med,Codex,Codex Pro,yes,no,74,0.47,59.0,Cheap for routine edits and cleanup.
game_mechanic_design,Game mechanic design,GPT-5.6 Luna low,Luna low,Codex,Codex Pro,yes,no,58,0.21,42.0,Very cheap; use only for low-risk work.
game_mechanic_design,Game mechanic design,DeepSeek V4 Pro high,DeepSeek V4 Pro,benchmark reference,Reference,no,no,62,0.27,47.0,Cheap benchmarked open-model agent option.
game_mechanic_design,Game mechanic design,Kimi K2.6,Kimi K2.6,benchmark reference,Reference,no,no,66,1.18,47.0,Open-model option; slow/uneven in this setup.
game_mechanic_design,Game mechanic design,Qwen3-Coder-Next local/free,Qwen local,benchmark reference,Reference,no,no,55,0.0,,Modeled as zero direct API cost only if run locally/free; compute and setup excluded.
marcy_npc_dialogue,Marcy/NPC dialogue,Claude Fable 5 max,Fable 5 max,Claude,Claude Pro,yes,no,99,11.75,77.0,Highest taste/creative/knowledge-work ceiling; expensive.
marcy_npc_dialogue,Marcy/NPC dialogue,GPT-5.6 Sol max,Sol max,Codex,Codex Pro,yes,no,87,7.08,80.0,Best pure coding-agent performer in this set.
marcy_npc_dialogue,Marcy/NPC dialogue,Claude Opus 4.8 max,Opus 4.8 max,Claude,Claude Pro,yes,no,96,7.7,73.0,"Strong taste, writing, design translation; expensive for code."
marcy_npc_dialogue,Marcy/NPC dialogue,GPT-5.6 Terra max,Terra max,Codex (if available),Codex Pro,yes,no,82,2.76,77.0,Strong balanced coding value.
marcy_npc_dialogue,Marcy/NPC dialogue,Grok 4.5 high,Grok 4.5,Cursor,Cursor native,yes,no,83,2.59,76.0,Strong Cursor-adjacent agentic/debugging value.
marcy_npc_dialogue,Marcy/NPC dialogue,GPT-5.6 Luna max,Luna max,Codex,Codex Pro,yes,no,84,1.57,75.0,Best daily-driver value.
marcy_npc_dialogue,Marcy/NPC dialogue,GLM-5.2,GLM-5.2,OpenRouter / Cursor API,Paid API,yes,no,72,6.47,58.0,Good long-context utility; weak in this specific coding-agent setup.
marcy_npc_dialogue,Marcy/NPC dialogue,GPT-5.6 Luna medium,Luna med,Codex,Codex Pro,yes,no,78,0.47,59.0,Cheap for routine edits and cleanup.
marcy_npc_dialogue,Marcy/NPC dialogue,GPT-5.6 Luna low,Luna low,Codex,Codex Pro,yes,no,70,0.21,42.0,Very cheap; use only for low-risk work.
marcy_npc_dialogue,Marcy/NPC dialogue,DeepSeek V4 Pro high,DeepSeek V4 Pro,benchmark reference,Reference,no,no,55,0.27,47.0,Cheap benchmarked open-model agent option.
marcy_npc_dialogue,Marcy/NPC dialogue,Kimi K2.6,Kimi K2.6,benchmark reference,Reference,no,no,60,1.18,47.0,Open-model option; slow/uneven in this setup.
marcy_npc_dialogue,Marcy/NPC dialogue,Qwen3-Coder-Next local/free,Qwen local,benchmark reference,Reference,no,no,50,0.0,,Modeled as zero direct API cost only if run locally/free; compute and setup excluded.
app_game_architecture,App/game architecture,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,30,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
game_ui_design,Game UI design,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,45,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
game_creative_direction,Game creative direction,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,25,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
planning,Planning,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,40,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
orchestrating_sub_agents,Orchestrating sub-agents,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,25,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
sub_agent_use,Sub-agent use,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,68,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
debugging,Debugging,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,35,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
small_code_edits_nudges,Small code edits/nudges,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,88,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
cleanup,Cleanup,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,80,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
notes_to_tickets,Notes → tickets for plans,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,55,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
pixel_art,Pixel art,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,55,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
game_mechanic_design,Game mechanic design,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,28,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
marcy_npc_dialogue,Marcy/NPC dialogue,Composer 2.5,Composer,Cursor,Cursor native,yes,yes,25,0.0,,"Fable estimate, not benchmarked. Cursor native credits; tiny scoped edits only."
